DLHRWAGE,DEDUC1,AGE,AGESQ,HRWAGEH,WHITEH,MALEH,EDUCH,HRWAGEL,WHITEL,MALEL,EDUCL,DEDUC2,DTEN,DMARRIED,DUNCOV
0,0,39.35112936,1548.511382,11,1,0,12,11,1,0,12,0,0,1,0
.,0,70.54346338,4976.380226,5.833333334,1,1,8,.,1,1,8,0,-4,0,0
0,0,24.61054073,605.6787148,7,1,1,18,7,1,1,18,0,-0.5,0,0
0.354171814,2,31.45790554,989.5998212,30,1,0,16,21.05263158,1,0,14,2,0.5,0,1
0.101782694,1,30.65297741,939.6050243,7.75,1,0,14,7,1,0,13,-1,-0.333,-1,0
0.161268148,0,31.89869952,1017.527031,11.75,1,0,15,10,1,0,15,1,2,0,0
0.693147181,0,37.72210815,1422.957443,5,1,0,16,2.5,1,0,16,0,-3.5,-1,0
-0.51366603,-1,33.59069131,1128.334543,11.25,0,0,15,18.80333333,0,0,16,-4,4,1,1
0.167054085,0,32.29021218,1042.657803,32.5,0,0,16,27.5,0,0,16,0,4.5,0,0
-0.684692793,-2,33.46201232,1119.706269,2.909090909,1,1,12,5.7692,1,1,14,0,0,0,0
.,1,27.13483915,736.2994958,23.75,1,0,20,.,1,0,19,3,3,0,1
0,-1,30.81998631,949.8715562,15,1,0,15,15,1,0,16,-2,-2.981,0,1
0.029741969,0,32.34770705,1046.374151,6.5,1,0,12,6.30952381,1,0,12,0,3.5,0,0
.,2,40.862423,1669.737613,.,1,0,16,.,1,0,14,-1,-0.5,0,0
1.966112856,0,30.35181383,921.2326025,25,1,0,12,3.5,1,0,12,0,8.833,0,0
0.173609616,3,44.7063655,1998.659117,8,1,0,18,6.725,1,0,15,4,-0.833,0,0
-0.276253377,7,31.80835045,1011.771158,11,1,1,19,14.5,1,1,12,7,-9,0,0
2.109746891,0,19.22245038,369.5025985,61.53846154,1,1,12,7.462686567,1,1,12,0,3.25,0,0
0.262364265,0,40.50102669,1640.333163,11.81818182,1,1,16,9.090909091,1,1,16,0,-4,1,0
-0.500462837,0,61.95756331,3838.739652,4.85,1,0,13,8,1,0,13,0,-17,0,1
-0.798507696,-1,26.66940452,711.2571373,5,1,0,15,11.11111111,1,0,16,-1,-0.461,0,0
.,0,65.98494182,4354.012547,.,1,1,10,.,1,1,10,0,3,0,-1
-0.001153403,0,44.84873374,2011.408918,17.33,1,1,13,17.35,1,1,13,0,0,0,0
0.014888613,0,29.18548939,851.792791,10.15,0,1,12,10,1,1,12,0,4.583,-1,0
.,0,56.8569473,3232.712456,.,1,1,12,16.5,1,1,12,0,-14.5,0,-1
.,-2,55.91238878,3126.195219,20,1,1,12,.,1,1,14,-1,29,0,1
.,0,72,5184,.,1,0,12,.,1,0,12,0,-4,0,0
0.138304671,-1,41.08418891,1687.910579,12,1,0,13,10.45,1,0,14,4,2,0,1
-0.223143551,1,30.45037645,927.2254262,10,1,0,15,12.5,0,0,14,0,-3,-1,0
-0.693147181,-4,51.84120465,2687.5105,7.5,1,0,12,15,1,0,16,-4,-2,1,0
0.498991166,0,20.42984257,417.3784676,7,1,0,14,4.25,1,0,14,0,-1.917,0,0
0.099974609,-4,32.35865845,1047.082777,9.67,1,0,12,8.75,1,0,16,-4,12,0,0
-0.080487251,0,50.14921287,2514.943551,6.92,1,0,12,7.5,1,0,12,0,13,-1,0
-0.980829253,-2,42.54893908,1810.412217,11.25,1,1,16,30,1,1,18,-6,-0.5,-1,0
0.265703166,0,27.74811773,769.9580374,8.695652174,1,1,12,6.666666667,1,1,12,0,.,0,0
.,-4,62.57905544,3916.13818,.,0,1,12,12,0,1,16,0,-7.75,0,0
-0.627007378,-1,24.62422998,606.3527021,5,1,1,15,9.36,1,1,16,-1,-0.417,-1,1
-0.393042588,-1,57.68651609,3327.734138,7.5,1,1,12,11.11111111,1,1,13,0,1,0,-1
0.251314428,0,42.85010267,1836.131299,18,1,1,16,14,1,1,16,0,1,0,0
-0.470003629,0,37.28405202,1390.100535,5,1,0,12,8,1,0,12,0,-15.5,0,0
-0.980829253,0,45.39356605,2060.575839,37.5,1,1,14,100,1,1,14,-2,-2,0,0
-0.051837282,2,32.84325804,1078.679599,8.27,1,0,16,8.71,1,0,14,-2,0,0,0
.,0,28.69267625,823.2696703,.,1,1,16,.,1,1,16,0,-0.5,0,0
0,1,37.02395619,1370.773332,10.5,1,1,13,10.5,1,1,12,1,-6.417,0,0
0,0,37.83983573,1431.853168,5,1,1,14,5,1,1,14,0,0,0,0
-0.047252885,0,31.06639288,965.1207667,6.613333333,1,1,16,6.933333333,1,1,16,0,-0.3,0,0
0.117783036,-3,30.14921287,908.9750366,6.75,1,1,12,6,1,1,15,2,6.5,0,0
.,1,78.64202601,6184.568255,.,1,1,13,.,1,1,12,-1,15,1,0
0.117783036,2,37.85078713,1432.682087,18,1,1,15,16,1,1,13,0,4,0,0
0,-1,21.7412731,472.682956,5,1,0,13,5,1,0,14,1,0,0,0
-0.046520016,-2,42.770705,1829.333206,21,1,1,14,22,1,1,16,-3,-1.5,0,0
-0.117783036,0,33.03764545,1091.486017,16,1,1,15,18,1,1,15,0,-8,0,-1
0.481266822,-1,27.41957563,751.8331279,10,1,0,12,6.18,1,0,13,0,4.5,0,0
.,1,28.11498973,790.4526477,70,1,1,16,.,1,1,15,2,1,0,0
0.315852949,0,47.74264203,2279.359868,8.571428572,1,0,10,6.25,1,0,10,0,7,0,0
.,0,79.12388775,6260.589612,.,1,0,12,.,1,0,12,0,26,0,0
-0.195744577,0,51.33196441,2634.97057,22.22222222,1,1,18,27.02702703,1,1,18,0,5,0,0
.,0,34.35181383,1180.047113,.,1,0,12,6,1,0,12,0,1.833,0,0
0.182321557,-1,36.94182067,1364.698115,15.6,1,1,15,13,1,1,16,-2,0,1,-1
0.162840421,-1,33.40725531,1116.044707,10.98,1,1,13,9.33,1,1,14,0,-3.75,0,0
0.242510354,0,34.86652977,1215.674899,9.25,1,1,14,7.258064516,1,1,14,1,-2,-1,1
-0.693147181,0,31.03080082,962.9105996,6.25,1,0,12,12.5,1,0,12,0,-11.5,1,0
0,3,41.35797399,1710.482013,17.5,1,0,16,17.5,1,0,13,3,4.333,-1,0
-0.724069091,-3,43.01984942,1850.707444,6.05,1,0,12,12.48,1,0,15,-3,-18,0,0
-1.078809661,0,35.13483915,1234.456922,4.42,1,0,12,13,1,0,12,0,-12,0,-1
.,0,34.68309377,1202.916994,.,1,1,20,149.51925,1,1,20,0,2,0,0
0.673344553,0,24.83778234,616.9154316,8.333333333,1,1,12,4.25,1,1,12,-1,3.583,0,0
-0.133531393,-2,28.53114305,814.0261239,7,1,0,12,8,1,0,14,0,-1,-1,0
-0.378984231,-2,27.27720739,744.0460431,6.25,1,0,12,9.13,1,0,14,-2,-2,-1,0
0.100916464,4,43.42231348,1885.497308,26,1,0,20,23.50422222,1,0,16,4,1,-1,0
1.280933846,2,31.76728268,1009.160249,60,1,1,18,16.66666667,1,1,16,2,-6.5,0,1
.,5,27.94798084,781.0896328,.,1,0,18,5.39516129,1,0,13,3,0.334,0,0
-0.421525916,5,32.44626968,1052.760416,7,1,1,20,10.67,1,1,15,2,-9,0,-1
0.405465108,-1,22.47227926,505.0033352,7.5,1,0,15,5,1,0,16,-1,2.981,0,0
-0.510825624,-2,40.35865845,1628.821312,7.5,1,0,12,12.5,1,0,14,-2,-19,0,0
1.366491734,2,43.3045859,1875.28716,33.33333333,1,0,18,8.5,1,0,16,3,1,0,0
0.465447813,0,50.54893908,2555.195242,8.76,1,0,12,5.5,1,0,12,0,0,0,0
0.46203546,1,44.21902806,1955.322443,11.11111111,1,0,13,7,1,0,12,-1,3.75,1,0
0.70151543,4,27.23066393,741.509058,24,1,1,16,11.9,1,1,12,4,-1,0,-1
0.546930628,0,36.36413416,1322.350253,11.75,1,1,12,6.8,1,1,12,0,15,0,0
0.693147181,0,36.48186174,1330.926236,10,1,0,12,5,1,0,12,-2,0.667,0,0
0.248462959,0,25.17727584,633.8952187,9.6154,1,1,16,7.5,1,1,16,0,-2.583,0,0
.,0,60.97193703,3717.577105,.,1,0,12,6,1,0,12,0,23,0,0
0.182321557,-2,64.13963039,4113.892187,18,1,1,16,15,1,1,18,-2,22.458,0,0
.,-1,64.45995893,4155.086306,.,0,0,11,.,0,0,12,1,-21,1,1
.,0,61.33607118,3762.113628,.,1,0,12,3,1,0,12,1,13.5,1,0
0.133531393,0,28.15331964,792.609407,10,1,0,15,8.75,1,0,15,1,1,-1,0
0.519875459,0,50.05065024,2505.067589,11.5625,1,0,12,6.875,1,0,12,0,2.5,0,-1
0.049122045,0,25.94113621,672.9425478,16.42857143,1,0,12,15.64106667,1,0,12,0,0,0,0
0.619039208,-7,31.20876112,973.9867708,13,0,0,8,7,1,0,15,7,-7,0,-1
0.287682073,2,26.92676249,725.0505383,13.33333333,1,1,16,10,1,1,14,2,-2.5,-1,0
1.32175584,1,25.54140999,652.3636244,6.25,1,0,13,1.666666667,1,0,12,1,0,0,0
.,0,52.55030801,2761.534872,.,1,0,12,5.952380953,1,0,12,0,0,0,0
0,0,40.8733744,1670.632735,20,0,1,12,20,0,1,12,0,4.5,-1,0
.,1,33.25119781,1105.642156,9.6,1,0,13,.,1,0,12,0,-2,0,0
-0.057158414,0,48.24914442,2327.979937,4.25,1,0,12,4.5,1,0,12,0,-2.993,0,0
-0.732367894,-1,37.28131417,1389.896386,5,1,0,12,10.4,1,0,13,-1,-7.5,-1,0
.,-1,70.60095825,4984.495306,.,1,1,12,6.868095238,1,1,13,0,13,0,-1
-0.322773392,0,29.05407255,844.1391319,10.5,1,1,13,14.5,1,1,13,0,-3.5,0,0
-0.894651557,-4,30.22587269,913.6033799,5.45,1,0,12,13.33333333,1,0,16,-4,2.5,-1,1
.,1,52.98562628,2807.476593,14.28571429,1,1,13,.,1,1,12,0,3,0,0
-0.615957542,-1,37.3744011,1396.845857,9.722222222,1,1,12,18,1,1,13,0,-6,0,-1
0.287682073,-1,21.92744695,480.8129299,6.666666667,1,0,12,5,1,0,13,0,1.75,0,0
0.343771539,0,23.96988364,574.5553218,10.57692308,1,0,16,7.5,1,0,16,0,0.038,0,0
0.284451052,0,36.37234771,1322.947678,10.3,1,1,18,7.75,1,1,18,0,2,0,0
.,0,22.29979466,497.2808419,.,1,0,12,20,1,0,12,0,0,0,0
0.022927505,0,36.94455852,1364.900404,15,1,0,16,14.66,1,0,16,0,1.5,1,0
0.518260602,4,43.20054757,1866.28731,11.25,1,0,14,6.7,1,0,10,3,14.67,1,0
0,0,18.7816564,352.7506171,4.25,1,0,13,4.25,1,0,13,0,-0.083,0,0
0.310154928,2,36.62149213,1341.133686,13.63636364,1,0,14,10,1,0,12,2,1,0,0
0.372250629,2,45.61259411,2080.508742,22.32285714,1,0,14,15.3845,1,0,12,2,-4,1,0
0.093011748,0,29.3908282,863.8207823,4.5,1,0,12,4.100322581,1,0,12,0,3.5,1,0
-0.087016892,-1,38.770705,1503.167566,21.1538,1,0,13,23.077,1,0,14,-1,2,1,0
0.109904862,0,45.55509925,2075.267067,20.60625,1,0,12,18.46153846,1,0,12,0,-7,-1,0
.,0,26.37645448,695.7173511,.,1,1,16,19.65,1,1,16,0,-0.5,0,0
0.850332764,2,40.31211499,1625.066615,5.5,1,0,14,2.35,1,0,12,2,2,0,0
-0.729514825,-2,28.41341547,807.3221786,7.5,1,0,14,15.55555556,1,0,16,-2,-2,0,0
-0.500775288,0,28.41341547,807.3221786,9,1,0,16,14.85,1,0,16,-2,3,0,0
