School	Enrollment	Tier	Retention	Grad.rate	Pct.20	Pct.50	Full.time	Top.10	Accept.rate	Alumni.giving
Kansas	29365	2	81	60	38	12	98	27	92	20
Univ Nebraska - Lincoln	23573	2	84	64	39	14	100	25	63	23
Florida State	38682	2	89	70	37	16	91	31	47	21
Arizona	38057	2	79	57	42	11	91	32	81	6
Missouri	30200	2	85	69	45	14	98	25	85	18
Oklahoma	30071	2	84	62	48	11	91	36	82	21
Illinois Institute of Tech	7613	2	85	64	60	4	81	42	57	11
Univ Mass - Amherst	26359	2	84	69	36	17	95	25	64	12
Tennessee	30410	2	83	60	30	8	97	41	65	12
Washington State	25352	2	83	67	41	18	89	44	72	18
Texas Christian	8696	2	85	9	48	6	83	32	50	21
Dayton	10920	2	86	75	38	5	80	21	74	23
New Hampshire	14964	2	87	73	44	16	84	24	65	10
Univ San Diego	7832	2	85	75	36	0.2	72	39	52	8
Univ S.C. - Columbia	27488	2	86	67	46	10	88	30	58	20
New Jersey Inst. of Tech	8398	2	81	58	69	2	82	25	53	21
Ohio University	21337	2	80	70	44	10	90	15	78	10
Oregon	21452	2	84	67	38	16	87	26	85	15
Pacific	3167	2	83	68	62	5	79	39	69	11
Clarkson	3045	2	85	73	47	17	95	38	79	19
Loyola	15670	2	84	66	29	13	70	34	74	10
Arizona State	67082	2	79	56	46	14	95	31	90	11
Catholic Univ	6705	2	81	71	53	7	76	24	81	9
Michigan Tech	7018	2	82	65	43	12	94	28	75	19
SUNY - Buffalo	28192	2	87	65	32	24	87	25	52	9
San Francisco	8750	2	84	67	52	2	87	26	64	10
Samford	4469	2	84	76	66	1	86	36	89	11
Utah	28211	2	81	51	45	15	85	29	81	9
Colorado State	27800	2	82	63	37	17	99	20	86	9
Duquesne	10106	2	87	72	49	7	74	23	76	14
Louisiana State	28810	2	84	61	34	20	96	26	73	13
Missouri Univ Sci Tech	6371	2	87	62	36	13	93	39	92	20
Arkansas	19194	2	82	58	33	16	97	30	58	18
Kentucky	26054	2	79	58	29	16	91	26	79	12
Adelphi	5139	3	80	64	45	2	58	23	66	7
Andrews	3419	3	79	57	61	8	89	19	56	11
Azusa Pacific 	8548	3	81	65	63	2	96	31	63	
Ball State	20243	3	76	59	36	9	92	16	73	12
Biola	5893	3	85	70	46	5	78	41	81	11
Bowling Green	17874	3	76	58	41	6	94	12	87	9
DePaul	24352	3	84	64	39	1	74	22	64	6
Florida Inst Tech	6400	3	76	59	53	3	89	23	82	21
George Fox	3383	3	79	61	61	1	71	32	83	8
George Mason	30714	3	85	61	35	14	78	18	63	5
Hofstra	12333	3	79	55	47	4	72	26	53	9
Illinois State	20799	3	84	70	32	12	89	11	64	7
Kansas State	23520	3	79	58	45	11	95		84	18
Kent State	22944	3	72	50	50	7	80	12	74	5
Louisiana Tech 	10917	3	72	48	56	7	92	21	65	19
Mississippi State	17824	3	82	60	37	13	94	30	65	12
Montana State	12369	3	71	48	43	14	86	18	67	11
New School	9825	3	81	61	88	1	37	18	51	8
North Dakota State	13229	3	80	51	36	14	94	16	80	16
Oklahoma State	22768	3	79	60	37	14	92	27	89	15
Old Dominion	23086	3	77	47	38	13	82	12	72	8
Oregon State	20320	3	81	62	41	19	92	21	84	14
Pace	12704	3	75	57	49	1	66	18	75	6
Pacific	3167	3	79	67	67	3	81	39	78	13
Polytechnic Inst NY	3983	3	82	53	55	3	72	25	55	9
Rutgers - Newark	11032	3	87	59	28	18	83	24	50	11
San Diego State	35832	3	83	61	20	21	78		31	4
Seton Hall	9669	3	84	61	48	2	73	25	73	9
South Carolina State	4888	3	65	45	45	3	90	7	75	10
Southern Illinois 	20673	3	69	45	51	5	95	9	69	7
St. Johns	20109	3	78	61	38	6	71	18	46	18
St Marys Univ Minn	5611	3	75	57	61	0	42	18	74	19
Temple	35490	3	86	65	36	7	73	20	61	9
Texas Tech	28422	3	83	57	25	21	98	21	72	16
SUNY - Albany	18202	3	84	64	24	23	76	15	50	9
Alabama - Birmingham	16149	3	77	40	41	13	97	27	82	11
Alabama - Huntsville	7431	3	77	48	34	13	86	23	89	5
Central Florida	50254	3	84	63	26	25	89	35	48	11
Cincinnati	29617	3	81	55	45	8	99	22	61	9
Hartford	7366	3	74	54	63	1	65		57	7
Hawaii - Manoa	20169	3	77	51	51	9	98	25	67	9
Idaho	11791	3	76	57	52	8	93	17	78	10
Illinois - Chicago	25865	3	79	48	36	19	91	25	60	7
La Verne	3923	3	83	60	78	0	74	24	59	10
Louisville	20834	3	78	46	26	13	84	28	70	14
Maine	11818	3	79	59	45	13	89	21	77	10
Maryland - Baltimore	12268	3	84	59	41	13	84	26	72	5
Mass - Lowell	12471	3	76	51	39	5	82	14	75	9
Mississippi	15289	3	80	56	47	15	94		83	14
Missouri - Kansas City	14499	3	71	43	53	9	82	31	73	7
Montana	12566	3	72	42	47	12	90	17	96	15
Nevada - Reno	16867	3	76	48	36	14	99	22	91	13
New Mexico	25754	3	76	44	43	13	85	20	68	9
North Carolina - Greensboro	17407	3	77	53	43	13	86	13	72	7
North Dakota  	12748	3	76	54	40	9	97	16	75	15
Rhode Island	15904	3	81	58	34	9	99		80	9
South Dakota	9291	3	72	47	44	6	95	11	83	14
South Florida	46189	3	83	48	27	14	97	25	46	15
St. Thomas	10963	3	88	72	38	2	73	20	81	15
Texas - Dallas	14944	3	82	59	28	26	86	40	54	5
Wyoming	12067	3	74	57	42	9	98	23	96	11
Utah State	15099	3	73	53	38	16	92	23	97	10
Virginia Commonwealth	32284	3	82	49	41	13	83	17	58	10
Western Michigan	24818	3	74	55	38	11	85	10	85	7
West Virginia	28840	3	81	56	45	16	89	19	88	7
Widener	6601	3	72	56	61	1	72	14	67	9
Barry	8581	4	63	41	68	1	76		62	9
Central Michigan	27225	4	77	57	33	11	83	13	70	9
Clark Atlanta	4068	4	70	45	38	5	88		57	9
Cleveland State	15809	4	60	26	45	8	76	12	65	
East Carolina	27677	4	77	54			99	12	74	9
East Tennessee State	13646	4	69	42	45	6	84	19	90	6
Florida AandM	11857	4	82	40	31	15			64	1
Florida Atlantic	26897	4	74	39	32	11	82	8	49	4
Florida International	38858	4	82	49	26	20	79		33	7
Georgia Southern	17764	4	79	45	25	12	96	16	50	10
Georgia State	28238	4	81	43	18	15	88		55	4
Golden Gate	3528	4		20	94	0			100	
Idaho State		4	56	27						67
Immaculata	4182	4	68	47	74	0	48		80	15
Indiana State	10457	4	67	43	50	5	87	10	66	13
Indiana Univ Pa	14310	4	75	51	36	13	97	8	64	9
Indiana U - Purdue U	30300	4	66	32	36	10	88	17	70	10
Jackson State	8377	4	72	35	27	4	91		52	
Long Island	8051	4	71	42	62	3	58	10	84	4
Morgan State	7005	4	68	33			92		44	
New Mexico State	17200	4	76	45	52	9	88	19	82	7
North Carolina AandT		4	69	40						10
Northern Arizona	22507	4	71	52	38	10	78	37	74	5
Northern Illinois	24397	4	78	51	42	11	91	9	58	8
Nova Southeastern	28378	4	62	42	72	0.3	67	15	45	3
Oakland	18169	4	72	44	41	13	76		85	4
Oral Roberts	3067	4	79	53	66	5	84	23	73	8
Portland State	26382	4	68	31	31	15	78		90	4
Regent 	4560	4	66		66	0	58		88	6
South Dakota State	11995	4	76	53	30	12	88	16	93	
Spalding	1712	4	64	32	68	0	71		43	8
Tennessee State	8254	4	73	38	43	3	90		39	9
Texas A&M - Commerce	8787	4	61	34	67	1	77	17	74	1
Texas A&M - Kingsville	7133	4	61	27	45	2	89	9	86	4
Texas Womans	12465	4	71	44	48	6	68	18	56	
Trevecca Nazarene	2366	4	70	49	67	3	67	18	69	7
Trinity International	3109	4	73	52	60	1	77	25	97	13
Akron	24119	4	67	33	41	6	73	12	75	15
Alaska - Fairbanks	8579	4	72	27	64	4	58	13	71	4
Arkansas - Little Rock		4		21						
Bridgeport	5323	4	54	40	67	0.4	45	11	62	2
Colorado - Denver	21903	4	72	37	32	9	91	20	63	4
Houston	36104	4	78	42	31	24	87	21	79	8
Louisiana - Lafayette	16320	4	73	40	30	7	92	15	68	6
Mass - Boston	14117	4	73	33	36	5	76		63	6
Memphis	20214	4	73	39	39	9	83	17	67	7
Missouri - St. Louis	15750	4	72	46	46	8	78	22	58	8
Nevada - Las Vegas	28617	4	74	41	27	16	84	20	73	5
New Orleans	11428	4	72	22	44	10	90	16	55	2
North Carolina - Charlotte	23300	4	77	51	31	16	88	12	76	5
Northern Colorado	11925	4	69	50	28	14	82	12	93	5
North Texas	34698	4	75	45	30	19	79	21	64	7
Southern Mississippi	14793	4	74	44	49	10	92	20	55	13
Texas - Arlington	25084	4	63	38	28	24	88	19	76	3
Texas - El Paso	20458	4	69	31	36	11	82	19	99	6
Toledo	22336	4	69	46	33	10	88	14	92	6
West Florida	10491	4	74	44	31	8	91	16	69	5
Wisconsin - Milwaukee	29215	4	71	42	36	15	84	8	79	6
Wayne State	31024	4	70	34	49	9	76		79	5
Wichita State	14612	4	69	39	46	12	97	20	86	8
Wright State	16672	4	70	42	39	9	99	14	86	4
